Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,AI_Keywords
DHS-0010-2023,DHS,Customs and Border Protection,,RVSS Legacy Overhauled System Project (INVNT),"Video Computer Aided Detection (VCAD) (also known as Matroid AI) is software that enables CBP end users to create and share vision detectors. 

VCAD detectors are trained computer vision models that recognize objects, people, and events in any image or video stream. Once a detector is trained, it can monitor streaming video in real time, or efficiently search through pre-recorded video data or images to identify objects, people, and events of interest. 

Users can view detection information via a variety of reports and alert notifications to process and identify important events and trends. Detection data is also available through VCAD's powerful developer Application Programming Interface (API) and language specific clients, so CBP applications can be integrated with the power of computer vision.",Deployment,"The Matroid software currently processes and annotates images using proprietary software to determine if any of the images contain human subjects. Future use cases include the potential to detect additional items of interest such as vehicles, subjects with long-arm rifles or large backpacks and to exclude items of little or no interest such as animals.",,Department of Homeland Security,"Keywords:
1. Video Computer Aided Detection
2. Matroid AI
3. Computer vision models
4. Real-time monitoring
5. Object recognition
6. People recognition
7. Event recognition
8. Detection reports
9. Alert notifications
10. Data integration"
DHS-0011-2023,DHS,Customs and Border Protection,,Use of technology to identify proof of life,"The Use of technology to identify proof of life, or ""Liveness Detection,"" uses Artificial Intelligence to reduce fraudulent activity, primarily for use within the CBP One app.

The CBP One app is designed to provide the public with a single portal to a variety of CBP services. It includes different functionality for travelers, importers, brokers, carriers, International Organizations, and other entities under a single consolidated log-in, and uses guided questions to help users determine the correct services, forms, or applications needed.

The Liveness Detection component used by the authentication system for the CBP One app uses the user's mobile device camera in addition to Artificial Intelligence algorithms to determine if the face presented to the app is the person in front of the camera at the time of capture and not a photo, mask, or other spoofing mechanism. Being able to accept submitted data with confidence that the submitting individual is who and where they claim to be is critical to the functionality of the app within the agency environment. ",Development and Acquisition,Machine Vision,,Department of Homeland Security,"1. Liveness Detection
2. Artificial Intelligence
3. Authentication System
4. Face Recognition
5. Fraud Prevention
6. Mobile Device Camera
7. Identity Verification
8. Spoofing Detection
9. User Validation
10. CBP One App"
DHS-0012-2023,DHS,Customs and Border Protection,,Vessel Detection,"Integrated technologies and analytics enhance maritime detection and the sensor network. Machine-assisted and AI-enhanced detection and tracking allows for improved illicit vessel detection in areas with high volumes of legitimate trade and recreational water vessel traffic by increasing situational awareness and responsiveness to threats.

Vessel Detection allows an agent to set a search area with criteria (e.g., people, drones, vehicles) and transmit that criteria to the sensors.  Images detected by the sensors are auto-recognized using Artificial Intelligence. The AI algorithms filter, detect, and recognize objects and divides them into Items of Interest (IoI) and ""other"" objects. 

Detections of IoI are shared with other detection systems while detections of other objects (e.g., animals) are not shared. IoIs can be tracked and maintained across multiple sensors seamlessly.",Development and Acquisition,Machine Vision,,Department of Homeland Security,"1. Integrated technologies
2. Analytics
3. Maritime detection
4. Sensor network
5. Machine-assisted detection
6. AI-enhanced tracking
7. Illicit vessel detection
8. Situational awareness
9. Threat responsiveness
10. Object recognition"
DHS-0013-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Advanced Analytic Enabled Forensic Investigation,"CISA deploys forensic specialists to analyze cyber events at Federal Civilian Executive Branch (FCEB) departments and agencies, as well as other State, Local, Tribal, Territorial, and Critical Infrastructure partners. Forensic analysts can utilize advanced analytic tooling, in the form of Artificial Intelligence implementations to better understand anomalies and potential threats. This tooling allows forensic specialists the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security,"1. Forensic specialists
2. Cyber events analysis
3. Advanced analytic tooling
4. Artificial Intelligence
5. Anomalies detection
6. Automated data analysis
7. Mathematically based models
8. Probabilistic models
9. High fidelity detection
10. Timely threat identification"
DHS-0014-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Advanced Network Anomaly Alerting,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of data from the National Cybersecurity Protection System's (NCPS) Einstein sensors. Manually developed detection alerts and automatic correlation via off the shelf tooling are common, but not comprehensive. Many network attacks can be probabilistically determined given sufficient training data and time. Analysts use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and backed in subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security,"1. Threat hunting
2. Security Operations Center (SOC) analysts
3. National Cybersecurity Protection System (NCPS)
4. Einstein sensors
5. Automated detection
6. Machine learning
7. Probabilistic modeling
8. Anomaly detection
9. Automated alerts
10. Data analysis"
DHS-0015-2023,DHS,Cybersecurity and Infrastructure Security Agency,,AI Security and Robustness,"Frameworks, processes, and testing tools developed to govern the acquisition, development, deployment, and maintenance of AI technologies. Technology integrators within CISA as well as the rest of the federal enterprise use AI-enhanced tools to assure the trustworthy, robust, and secure operation of their AI systems. These tools use Machine Learning and Natural Language Processing to enhance the assessment of AI technology within the agency by speeding up data processing.",Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security,"Keywords:
1. Governance
2. Acquisition
3. Development
4. Deployment
5. Maintenance
6. Technology integrators
7. Trustworthy
8. Robust
9. Secure operation
10. Machine Learning"
DHS-0016-2023,DHS,Cybersecurity and Infrastructure Security Agency,,AIS Scoring and Feedback,"AIS Automated Scoring & Feedback (AS&F) is uses descriptive analytics from organizational-centric intelligence to support confidence and opinion/reputation classification of indicators of compromise (IOCs). Looking at an indicator AS&F determines if the indicator is present in known-good list by cross-referencing organizational-centric intelligence data of known non-malicious/benign indicators and classifies accordingly if true. If not a known-good, determine if there are sightings of the indicator by cross-referencing organizational-centric intelligence and classify accordingly if true. If there are no sightings for the indicator, determine if this indicator has been verified by an analyst within our organizational-centric intelligence and classify accordingly if true. Lastly if the indicator has not been verified by an analyst, AS&F determines whether there are other reports within our organizational-centric intelligence about this indicator and classifies accordingly. AIS participants can triage against the populated opinion and/or confidence values to identify Indicator objects meeting or exceeding designated criteria and filter out the remaining data. AIS participants may also find value in utilizing the confidence score (if present) and the opinion value to understand whether any difference between the publisher and other organizations exists. Together, these enrichments can help those receiving information from AIS prioritize actioning and investigating Indicator objects.",Operation and Maintenance,Descriptive Analysis; Machine Learning; NLP,,Department of Homeland Security,"1. Automated Scoring
2. Feedback
3. Descriptive Analytics
4. Confidence Classification
5. Opinion Classification
6. Indicator of Compromise (IOC)
7. Organizational-Centric Intelligence
8. Known-Good List
9. Sightings Analysis
10. Triage Decision-making"
DHS-0017-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Automated Indicator Sharing (AIS) Automated PII Detection,"The Automated PII Detection and Human Review Process incorporates descriptive, predictive, and prescriptive analytics. Automated PII Detection leverages natural language processing (NLP) tasks including named entity recognition (NER) coupled with Privacy guidance thresholds to automatically detect potential PII from within AIS submissions. If submissions are flagged for possible PII, the submission will be queued for human review where the analysts will be provided with the submission and AI-assisted guidance to the specific PII concerns. Within Human Review, analysts are able to confirm/deny proper identification of PII and redact the information (if needed). Privacy experts are also able to review the actions of the system and analysts to ensure proper performance of the entire process along with providing feedback to the system and analysts for process improvements (if needed). The system learns from feedback from the analysts and Privacy experts. Through the incorporation of the automated PII detection, CISA fully compliances with Privacy, Civil Rights and Civil Liberties requirements of CISA 2015 and scaled analyst review of submissions by removing false positives and providing guidance to submission to be reviewed. Through continual audits CISA will maintain integrity and trust in system and human processes.",Operation and Maintenance,Natural Language Processing (NLP),,Department of Homeland Security,"Keywords:
- Automated PII Detection
- Human Review Process
- Natural Language Processing (NLP)
- Named Entity Recognition (NER)
- Privacy Guidance Thresholds
- AI-assisted Guidance
- Privacy Experts
- Process Improvements
- False Positives
- System Learning"
DHS-0018-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Critical Infrastructure Anomaly Alerting,"The Cyber Sentry program provides monitoring of critical infrastructure networks. Within the program, threat hunting analysts require advanced anomaly detection and machine learning capabilities to examine multimodal cyber-physical data on IT and OT networks, including ICS/SCADA. The Critical Infrastructure Anomaly Alerting model provides AI-assistance in processing this information.",Initiation,"Machine Learning, Visualization",,Department of Homeland Security,"1. Anomaly detection
2. Machine learning
3. Threat hunting
4. Cyber-physical data
5. IT networks
6. OT networks
7. ICS/SCADA
8. Critical infrastructure
9. AI-assistance
10. Multimodal data"
DHS-0019-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Incident Reporting,Cyber incident handling specialists utilize advanced automation tools to process data received through various threat intelligence and cyber incident channels. These tools leverage Machine Learning and Natural Language Processing to increase the accuracy and relevance of data that is filtered and presented to human analysts and decision-makers. Machine Learning techniques also assist to aggregate the information in reports for presentation and further analysis. This includes data received through covered CIRCIA entities.,Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security,"1. Machine Learning
2. Natural Language Processing
3. Cyber incident handling
4. Automation tools
5. Threat intelligence
6. Data processing
7. Data filtering
8. Data aggregation
9. Report generation
10. Decision-making support"
DHS-0020-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Threat Intelligence Feed Correlation,"Cyber Threat Intelligence Feed Correlation uses AI enabled capabilities to provide accelerated correlation across multiple incoming information feeds. This enables more timely enrichment to improve the externally shared information feeds. AI allows the algorithm to use the information items and results to learn most efficient ways to perform the task. Additionally, tailored algorithms could be created to provided sustained surveillance of threat actor TTPs.
",Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security,"1. AI-Enabled Correlation
2. Cyber Threat Intelligence Feed
3. Accelerated Enrichment
4. Tailored Algorithms
5. Threat Actor TTPs
6. Timely Analysis
7. Machine Learning
8. Enhanced Surveillance
9. Information Fusion
10. Adaptive Learning"
DHS-0021-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Vulnerability Reporting,"Vulnerability analysts require advanced automation tools to process data received through various  vulnerability reporting channels, as well as aggregate the information for automated sharing. These tools leverage Machine Learning and Natural Language Processing to increase the accuracy and relevance of data that is filtered and presented to human analysts and decision-makers. Machine Learning techniques also assist to aggregate the information in reports for presentation and further analysis. This includes data in the KEV and CVE databases.",Initiation,"Natural Language Processing, Visualization",,Department of Homeland Security,"Keywords: 
1. Vulnerability analysis 
2. Automation tools 
3. Machine Learning 
4. Natural Language Processing 
5. Data processing 
6. Data aggregation 
7. Information filtering 
8. Data presentation 
9. KEV database 
10. CVE database"
DHS-0022-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Malware Reverse Engineering,"Reverse engineering of malware, and software analysis more broadly, will continue to be a critical activity in support of CISA’s cyber defense mission. Threat Focused Reverse Engineering (TFRE) leverages advanced engineering, formal methods, and deep learning techniques for better cyber threat intelligence. Without scalable, automated tools, it is difficult to disrupt sophisticated adversaries’ malware development lifecycle. New, unique, automated techniques are needed to better target adversaries, augment analysts, and create sophisticated tools for end users. Core tools disrupt the adversary’s development lifecycle by exposing tactics, techniques, and procedures (TTPs). Analysts could spend more time and energy to hunt/takedown threats; adversaries can spend less time operating malware and must commit more resources to reorient. TFRE consists of a broader development pipeline providing tool hardening, enhanced computational abilities, understanding of deployment environments, and other important capabilities.",Initiation,Machine Learning,,Department of Homeland Security,"1. Threat Focused Reverse Engineering (TFRE)
2. Malware analysis
3. Deep learning techniques
4. Cyber threat intelligence
5. Scalable, automated tools
6. Formal methods
7. Adversary's development lifecycle
8. Tactical analysis
9. Sophisticated adversaries
10. Tool hardening"
DHS-0023-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Operational Activities Explorer,"Duty officers and analysts in CISA's Operations Center use a dashboard powered by artificial intelligence to enable sensemaking of ongoing operational activities. Artificial intelligence uses new near-real-time event data (from open source reporting, partner reporting, CISA regional staff, and cybersecurity sensors) coupled with historical cybersecurity and infrastructure security information and previous operational response activity to recommend courses-of-action and engagement strategies with other government entities and critical infrastructure owners and operators based on potential impacts to the National Critical Functions.",Initiation,"Natural Language Processing (NLP), Machine Learning, Visualization",,Department of Homeland Security,"1. Dashboard
2. Artificial intelligence
3. Sensemaking
4. Near-real-time event data
5. Cybersecurity
6. Infrastructure security
7. Courses-of-action
8. Engagement strategies
9. National Critical Functions
10. Operational response"
DHS-0024-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Security Information and Event Management (SIEM) Alerting Models,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of log data. Manually developed detection alerts and automatic correlation in Security Information and Event Management tool are common, but not comprehensive. Many cyber attacks can be probabilistically determined given sufficient training data and time. Analysts  use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and curated subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security,"1. Threat hunting
2. Security Operations Center (SOC) analysts
3. Log data analysis
4. Detection alerts
5. Security Information and Event Management (SIEM)
6. Probabilistic analysis
7. Automated tooling
8. Anomaly detection
9. High fidelity alerts
10. Mathematically based models"
DHS-0025-2023,DHS,HQ,,Text Analytics for Survey Responses (TASR),Text Analytics for Survey Responses (TASR) is an application for performing Natural Language Processing (NLP) and text analytics on survey responses. It is currently being applied by DHS OCHCO to analyze and extract significant topics/themes from unstructured text responses to open-ended questions in the quarterly DHS Pulse Surveys. Results of extracted topics/themes are provided to DHS Leadership to better inform agency-wide efforts to meet employees’ basic needs and improve job satisfaction,Operation and Maintenance,"Natural Language Processing (NLP), Latent Dirichlet Allocation",,Department of Homeland Security,"Keywords: Text Analytics, Natural Language Processing, Survey Responses, DHS OCHCO, DHS Pulse Surveys, Topic Extraction, Theme Extraction, Job Satisfaction, NLP, Unstructured Text Analysis"
DHS-0026-2023,DHS,"HQ, Customs and Border Protection, Cybersecurity and Infrastructure Security Agency, Countering Weapons of Mass Destruction, Immigration and Customs Enforcement, Intelligence and Analysis, Science and Technology",,RelativityOne,"RelativityOne is a document review platform used to gain efficiencies in document review in litigation, FOIA, and other arenas where large-scale document review and production is necessary.",Operation and Maintenance,"Machine learning, Continuous Active Learning, Clustering",,Department of Homeland Security,"1. RelativityOne
2. document review platform
3. AI model
4. document review
5. litigation
6. FOIA
7. efficiencies
8. large-scale document review
9. production
10. gain efficiencies"
DHS-0027-2023,DHS,Immigration and Customs Enforcement,,Normalization Services,"HSI uses Artificial Intelligence to verify, validate, correct, and normalize addresses, phone numbers, names, and ID numbers to streamline the process of correcting data entry errors, point out purposeful misidentification, connect information about a person across HSI datasets, and cut down the number of resource hours needed for investigations. 

Examples of the normalization services provided include: normalizing less well-defined addresses into usable addresses for analysis- (such as those using mile markers instead of a street number); inferring ID type based on user-provided ID value (such as distinguishing a SSN from a DL number without additional context); categorizing name parts while taking into account additional factors (including generational suffixes and multi-part family names); and validating and normalizing phone numbers to the E164 standard, including their identified county of origin.

These services are provided as part of the Repository for Analytics in a Virtualized Environment (RAVEn).  RAVEn is a DHS HSI Innovation Lab project that facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,Machine Learning,,Department of Homeland Security,"1. Address validation
2. Phone number normalization
3. Name categorization
4. ID type inference
5. Data entry error correction
6. Resource hour reduction
7. HSI datasets integration
8. Criminal pattern analysis
9. AI model: normalization
10. AI model: verification"
DHS-0028-2023,DHS,Immigration and Customs Enforcement,,Machine Translation (Previously Language Translator),"Systran provides machine translation for over 100 different language combinations.  Currently the Innovation Lab has licenses for translating Chinese, Spanish, Arabic, Farsi, Russian, German, Ukrainian and Filipino to English.  Systran can translate plain text, word documents, and PDFS.  A web-based UI and API endpoint are available.",Operation and Maintenance,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security,"1. Machine Translation
2. Systran
3. Language Combinations
4. Innovation Lab
5. Chinese
6. Spanish
7. Arabic
8. Farsi
9. Russian
10. English"
DHS-0029-2023,DHS,Immigration and Customs Enforcement,,Email Analytics,"The Email Analytics application enables a user to review and analyze email data acquired through legal process.  AI is incorporated to accomplish spam message classification, and named entity recognition (NER) for entity extraction of names, organizations, locations, etc.  It also integrates machine translation capabilities using a commercial product.",Implementation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security,"Keywords: Email Analytics, AI, spam message classification, named entity recognition (NER), entity extraction, machine translation, legal process, email data, keywords, machine learning."
DHS-0030-2023,DHS,Immigration and Customs Enforcement,,Mobile Device Analytics,"Mobile Device Analytics (MDA) has been developed to meet the demand on investigators to view and analyze massive amounts of data resulting from court ordered mobile device extractions.  The overarching goal of MDA is to improve the efficacy of agents and analysts in identifying pertinent evidence, relationships, and criminal networks from data extracted from cellular phones. Machine Learning is being developed for object detection (such as firearms, drugs, money, etc.) in photos and videos contained in the data.

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Development and Acquisition,"Machine Learning, Object Detection, Natural Language Processing (NLP)",,Department of Homeland Security,"1. Mobile Device Analytics
2. Machine Learning
3. Object Detection
4. Firearms
5. Drugs
6. Money
7. DHS HSI Innovation Lab
8. RAVEn project
9. Criminal Networks
10. Data Analysis"
DHS-0031-2023,DHS,Immigration and Customs Enforcement,,Barcode Scanner,"The Barcode Scanner has been developed to scan and populate detected information into corresponding text fields within the RAVEn GO's Encounter Card. The barcode scanner currently supports MRZ and PDF417 barcode types, frequently found on travel documents (Passport and Passport cards) and US Driver's Licenses. 

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,"Machine Learning, Machine Vision",,Department of Homeland Security,"1. Barcode Scanner
2. MRZ
3. PDF417
4. Travel documents
5. US Driver's Licenses
6. RAVEn GO
7. Encounter Card
8. DHS HSI Innovation Lab
9. Data scanning
10. Document authentication"
DHS-0032-2023,DHS,Immigration and Customs Enforcement,,Facial Recognition Service,"The Facial Recognition Service is used during investigations conducted by HSI agents and analysts for identification of known individuals, as well as extracting faces for further investigations from perpetrators including child exploitation offenses, human rights atrocities, and war criminals.

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,"Machine Learning, Machine Vision",,Department of Homeland Security,"Facial Recognition, HSI Investigations, Identification, Extracting Faces, Child Exploitation, Human Rights Atrocities, War Criminals, DHS, RAVEn, Privacy Impact Assessment"
